"File","HP_Video1","HP_Clown","HP_Video2","HP_Kids","HP_Intro","HP_Video3"
"003_T1","NA",0.4995,0.5569,0.5569,0.5039,0.5418
"004_T1",0.6003,0.5604,0.5899,0.5666,0.5611,0.5646
"009_T1","NA",0.5161,0.5135,0.5119,0.5213,0.5276
"012_T1",0.6244,0.6177,0.6269,0.6493,0.609,0.5985
"015_T1",0.5034,0.5003,0.5339,0.531,0.5284,0.537
"016_T1",0.5992,0.543,0.6328,0.602,0.5507,0.6469
"017_T1",0.5405,0.5304,0.5547,0.5497,0.5534,0.5811
"018_T1",0.6668,0.6308,0.6396,0.6554,0.6294,0.6394
"020_T1",0.563,0.5252,0.568,0.559,0.5159,0.562
"027_T1",0.5833,0.5538,0.546,0.544,0.5355,0.5661
"028_T1",0.6667,0.724,0.615,0.6799,0.6267,0.6237
"029_T1",0.627,0.5423,0.6154,0.5687,0.578,0.6188
"031_T1",0.6082,0.5893,0.6073,0.6615,0.5884,0.59
"037_T1",0.6551,0.6994,0.6695,0.7151,0.6687,0.6402
"041_T1",0.6201,0.6147,0.6152,0.6188,0.613,0.6237
"042_T1",0.5472,0.5282,0.5822,0.5819,0.5351,0.5835
"046_T1",0.6852,0.6277,0.667,0.7007,0.6228,0.6535
"049_T1",0.6014,0.5965,0.5604,0.5776,0.5886,0.5804
"055_T1",0.5664,0.5755,0.5632,0.5652,0.5507,0.57
"056_T1",0.7667,0.7432,0.7364,0.7002,0.6775,0.6833
"086_T1",0.6113,0.5765,0.5976,0.6189,0.5528,0.6033
"078_T1",0.6153,0.5118,0.633,0.6014,0.5716,0.6026
